file,truth,prediction,confidence,tb_prob,normal_prob,raw_softmax,threshold,heatmap,report,runtime
TEST_nx1.jpg,Normal,Normal,0.016790226101875305,0.016790226101875305,0.9832097738981247,"[0.016790, 0.983210]",0.62,Yes,Yes,9.333945035934448
TEST_nx10.jpg,Normal,Normal,0.43389007449150085,0.43389007449150085,0.5661099255084991,"[0.433890, 0.566110]",0.62,Yes,Yes,2.563567876815796
TEST_nx11.jpg,Normal,Normal,0.03576384484767914,0.03576384484767914,0.9642361551523209,"[0.035764, 0.964236]",0.62,Yes,Yes,2.671271324157715
TEST_nx12.jpg,Normal,Normal,0.09850908815860748,0.09850908815860748,0.9014909118413925,"[0.098509, 0.901491]",0.62,Yes,Yes,2.597471237182617
TEST_nx13.jpg,Normal,Normal,0.04079776257276535,0.04079776257276535,0.9592022374272346,"[0.040798, 0.959202]",0.62,Yes,Yes,2.5485994815826416
TEST_nx14.jpg,Normal,Normal,0.014880752190947533,0.014880752190947533,0.9851192478090525,"[0.014881, 0.985119]",0.62,Yes,Yes,2.5558152198791504
TEST_nx15.jpg,Normal,Tuberculosis,0.674547553062439,0.674547553062439,0.32545244693756104,"[0.674548, 0.325452]",0.62,Yes,Yes,2.427333354949951
TEST_nx16.jpg,Normal,Normal,0.285753071308136,0.285753071308136,0.714246928691864,"[0.285753, 0.714247]",0.62,Yes,Yes,2.6087656021118164
TEST_nx17.jpg,Normal,Normal,0.5069589018821716,0.5069589018821716,0.49304109811782837,"[0.506959, 0.493041]",0.62,Yes,Yes,2.5864298343658447
TEST_nx18.jpg,Normal,Normal,0.18096952140331268,0.18096952140331268,0.8190304785966873,"[0.180970, 0.819030]",0.62,Yes,Yes,2.651862382888794
TEST_px27.jpg,Tuberculosis,Normal,0.12836481630802155,0.12836481630802155,0.8716351836919785,"[0.128365, 0.871635]",0.62,Yes,Yes,2.575878381729126
TEST_px28.jpg,Tuberculosis,Tuberculosis,0.6534432768821716,0.6534432768821716,0.34655672311782837,"[0.653443, 0.346557]",0.62,Yes,Yes,2.4697909355163574
TEST_px29.jpg,Tuberculosis,Normal,0.04734322056174278,0.04734322056174278,0.9526567794382572,"[0.047343, 0.952657]",0.62,Yes,Yes,2.6004815101623535
TEST_px30.jpg,Tuberculosis,Normal,0.017778148874640465,0.017778148874640465,0.9822218511253595,"[0.017778, 0.982222]",0.62,Yes,Yes,2.6052896976470947
TEST_px31.jpg,Tuberculosis,Normal,0.02071850560605526,0.02071850560605526,0.9792814943939447,"[0.020719, 0.979281]",0.62,Yes,Yes,2.6178767681121826
TEST_px32.jpg,Tuberculosis,Normal,0.2518509030342102,0.2518509030342102,0.7481490969657898,"[0.251851, 0.748149]",0.62,Yes,Yes,2.5818240642547607
TEST_px33.jpg,Tuberculosis,Normal,0.1981465369462967,0.1981465369462967,0.8018534630537033,"[0.198147, 0.801853]",0.62,Yes,Yes,2.643803119659424
TEST_px34.jpg,Tuberculosis,Normal,0.032198067754507065,0.032198067754507065,0.9678019322454929,"[0.032198, 0.967802]",0.62,Yes,Yes,2.556772470474243
TEST_px35.jpg,Tuberculosis,Normal,0.08258149027824402,0.08258149027824402,0.917418509721756,"[0.082581, 0.917419]",0.62,Yes,Yes,2.6766629219055176
TEST_px36.jpg,Tuberculosis,Normal,0.05386487767100334,0.05386487767100334,0.9461351223289967,"[0.053865, 0.946135]",0.62,Yes,Yes,2.574091911315918
